name,No,5mm,30mm,target_size
O6302-20240912094533959,11.0,37.998,38.002,38.0
O6302-20240912094644206,12.0,37.997,37.999,38.0
O6302-20240912094746231,13.0,37.997,38.0,38.0
O6302-20240912094901857,14.0,37.998,38.002,38.0
O6302-20240912095016270,15.0,37.998,38.002,38.0
O6302-20240912095134103,16.0,37.998,38.0,38.0
O6302-20240912095245748,17.0,37.997,38.0,38.0
O6302-20240912095359709,18.0,37.997,38.001,38.0
O6302-20240912095518266,19.0,37.998,38.001,38.0
O6302-20240912095630607,20.0,38.0,38.003,38.0
O6302-20240912100112472,21.0,38.0,38.003,38.0
O6302-20240912100230350,22.0,38.0,38.003,38.0
O6302-20240912100352440,23.0,38.0,38.003,38.0
O6302-20240912100508196,24.0,37.999,38.002,38.0
O6302-20240912100634393,25.0,37.999,38.002,38.0
O6302-20240912100742514,26.0,37.999,38.002,38.0
O6302-20240912100846263,27.0,37.999,38.002,38.0
O6302-20240912100955372,28.0,37.999,38.002,38.0
O6302-20240912101107841,29.0,38.0,38.002,38.0
O6302-20240912101236846,30.0,38.0,38.002,38.0
O6302-20240912101634226,31.0,38.0,38.004,38.0
O6302-20240912101756287,32.0,38.001,38.002,38.0
O6302-20240912101909581,33.0,37.999,38.002,38.0
O6302-20240912102014806,34.0,38.0,38.002,38.0
O6302-20240912102126923,35.0,38.0,38.004,38.0
O6302-20240912102242696,36.0,38.001,38.003,38.0
O6302-20240912102415530,37.0,38.0,38.003,38.0
O6302-20240912102521718,38.0,38.0,38.003,38.0
O6302-20240912102639212,39.0,38.0,38.003,38.0
O6302-20240912102825673,40.0,38.001,38.004,38.0
O6302-20241014133120008,1.0,40.002,40.004,40.0
O6302-20241014133253553,2.0,40.002,40.005,40.0
O6302-20241014133417578,3.0,40.004,40.005,40.0
O6302-20241014133522551,4.0,40.004,40.006,40.0
O6302-20241014133709145,5.0,40.003,40.006,40.0
O6302-20241014133824682,6.0,40.004,40.007,40.0
O6302-20241014133931743,7.0,40.004,40.006,40.0
O6302-20241014134050188,8.0,40.005,40.007,40.0
O6302-20241014134207246,9.0,40.005,40.007,40.0
O6302-20241014134316207,10.0,40.005,40.008,40.0
O6302-20241014134839767,11.0,40.007,40.009,40.0
O6302-20241014134951044,12.0,40.007,40.008,40.0
O6302-20241014135118989,13.0,40.008,40.011,40.0
O6302-20241014135247018,14.0,40.008,40.009,40.0
O6302-20241014135452424,15.0,40.008,40.011,40.0
O6302-20241014135621085,16.0,40.008,40.01,40.0
O6302-20241014135739206,17.0,40.008,40.011,40.0
O6302-20241014135913395,18.0,40.008,40.011,40.0
O6302-20241014140055105,19.0,40.008,40.01,40.0
O6302-20241014140223338,20.0,40.008,40.01,40.0
O6302-20241014140745732,21.0,40.008,40.011,40.0
O6302-20241014140909912,22.0,40.008,40.011,40.0
O6302-20241014141028633,23.0,40.007,40.01,40.0
O6302-20241014141147954,24.0,40.006,40.009,40.0
O6302-20241014141257607,25.0,40.008,40.01,40.0
O6302-20241014141415185,26.0,40.009,40.011,40.0
O6302-20241014141524313,27.0,40.008,40.01,40.0
O6302-20241014141646718,28.0,40.01,40.012,40.0
O6302-20241014141820888,29.0,40.008,40.011,40.0
O6302-20241014141944977,30.0,40.008,40.012,40.0
O6302-20241014142706603,31.0,40.009,40.012,40.0
O6302-20241014142844760,32.0,40.009,40.012,40.0
O6302-20241014143002665,33.0,40.009,40.013,40.0
O6302-20241014143124824,34.0,40.008,40.01,40.0
O6302-20241014143251384,35.0,40.01,40.012,40.0
O6302-20241014143401616,36.0,40.008,40.013,40.0
O6302-20241014143533678,37.0,40.009,40.014,40.0
O6302-20241014143656575,38.0,40.01,40.012,40.0
O6302-20241014143811276,39.0,40.01,40.012,40.0
O6302-20241014143930113,40.0,40.01,40.013,40.0
O6302-20241106133902590,1.0,42.002,42.004,42.0
O6302-20241106134215610,2.0,42.004,42.006,42.0
O6302-20241106134406612,3.0,42.003,42.006,42.0
O6302-20241106134516261,4.0,42.004,42.007,42.0
O6302-20241106134628214,5.0,42.003,42.005,42.0
O6302-20241106134751476,6.0,42.004,42.006,42.0
O6302-20241106134908942,7.0,42.004,42.006,42.0
O6302-20241106135013334,8.0,42.004,42.006,42.0
O6302-20241106135138155,9.0,42.004,42.007,42.0
O6302-20241106135250245,10.0,42.004,42.006,42.0
O6302-20241106135802142,11.0,42.004,42.007,42.0
O6302-20241106135916595,12.0,42.004,42.007,42.0
O6302-20241106140042658,13.0,42.003,42.006,42.0
O6302-20241106140201818,14.0,42.003,42.006,42.0
O6302-20241106140311399,15.0,42.003,42.006,42.0
O6302-20241106140427772,16.0,42.004,42.006,42.0
O6302-20241106140534674,17.0,42.003,42.005,42.0
O6302-20241106140654099,18.0,42.003,42.005,42.0
O6302-20241106140808160,19.0,42.003,42.005,42.0
O6302-20241106140919158,20.0,42.003,42.005,42.0
O6302-20241106141449623,21.0,42.003,42.006,42.0
O6302-20241106141922199,22.0,42.003,42.006,42.0
O6302-20241106142038945,23.0,42.003,42.005,42.0
O6302-20241106142149294,24.0,42.002,42.004,42.0
O6302-20241106142257615,25.0,42.002,42.004,42.0
O6302-20241106142405276,26.0,42.002,42.004,42.0
O6302-20241106142514981,27.0,42.002,42.004,42.0
O6302-20241106142621406,28.0,42.002,42.004,42.0
O6302-20241106142754628,29.0,42.002,42.004,42.0
O6302-20241106142905097,30.0,42.001,42.003,42.0
O6302-20241106143351110,31.0,42.001,42.004,42.0
O6302-20241106143522391,32.0,42.002,42.005,42.0
O6302-20241106143649909,33.0,42.002,42.004,42.0
O6302-20241106143759126,34.0,42.002,42.005,42.0
O6302-20241106144020481,35.0,42.002,42.005,42.0
O6302-20241106144145021,36.0,42.002,42.004,42.0
O6302-20241106144259899,37.0,42.002,42.004,42.0
O6302-20241106144418228,38.0,42.002,42.005,42.0
O6302-20241106144548762,39.0,42.002,42.005,42.0
O6302-20241106144702559,40.0,42.002,42.004,42.0
O6302-20241107132711819,1.0,44.005,44.007,44.0
O6302-20241107133017986,2.0,44.002,44.004,44.0
O6302-20241107133130075,3.0,44.003,44.005,44.0
O6302-20241107133313524,4.0,44.002,44.004,44.0
O6302-20241107133423753,5.0,44.002,44.005,44.0
O6302-20241107133533686,6.0,44.002,44.005,44.0
O6302-20241107133644627,7.0,44.003,44.005,44.0
O6302-20241107133755924,8.0,44.004,44.006,44.0
O6302-20241107133924686,9.0,44.005,44.007,44.0
O6302-20241107134040691,10.0,44.005,44.007,44.0
O6302-20241107134537009,11.0,44.006,44.009,44.0
O6302-20241107134701641,12.0,44.006,44.009,44.0
O6302-20241107134822218,13.0,44.006,44.008,44.0
O6302-20241107134955839,14.0,44.005,44.008,44.0
O6302-20241107135121652,15.0,44.007,44.009,44.0
O6302-20241107135232494,16.0,44.007,44.009,44.0
O6302-20241107135343230,17.0,44.006,44.009,44.0
O6302-20241107135502996,18.0,44.008,44.01,44.0
O6302-20241107135619769,19.0,44.008,44.009,44.0
